#Sunspot latitudes during the Maunder Minimum: a machine-readable catalogue from previous studies
#By Jos・M. Vaquero, Jos・M. Nogales and F. S疣chez-Bajo
#(Submitted to Advances in Space Research)
#
#Abstract.
#The Maunder Minimum (1645-1715 approximately) was a period of very low solar activity and a strong hemispheric asymmetry,
#with most of sunspots in the southern hemisphere. In this paper, two datasets of sunspot latitudes during the Maunder minimum
#have been recovered for the international scientific community. The first dataset is constituted by latitudes of sunspots
#appearing in the catalogue published by Gustav Sper nearly 130 years ago. The second dataset is based on the sunspot
#latitudes displayed in the butterfly diagram for the Maunder Minimum which was published by Ribes and Nesme-Ribes almost
#20 years ago. A machine-readable version of this catalogue with both dataset is available in the Historical Archive of Sunspot
#Observations (http://haso.unex.es).
#
#Description: Date, sunspot latitude, Source

Year,Latitude,Observer
1689.486572,-7.7,2
1695.694574,-10.3,2
1701.188467,-13.6,2
1701.191222,-12.6,2
1701.240115,-18.7,2
1701.240803,-18.4,2
1701.970063,-11.8,2
1702.036171,-11.2,2
1702.096771,-12.8,2
1702.610489,-14.5,2
1702.618752,-11.3,2
1703.204088,-10.2,2
1703.266065,-11.3,2
1703.614512,-1.7,2
1703.6758,-3,2
1703.688195,1.7,2
1703.735022,-5.2,2
1703.745352,-1.2,2
1703.748106,-0.1,2
1703.770142,-16.6,2
1704.226016,-15.6,2
1704.239788,-10.2,2
1704.329999,-0.4,2
1704.357544,-14.8,2
1704.495959,-11.3,2
1704.5056,-7.6,2
1704.508354,-6.5,2
1704.764525,-7.6,2
1704.767968,-6.3,2
1705.204559,-12.7,2
1705.462107,11.8,2
1705.590881,-13.5,2
1705.707948,-18.3,2
1705.715523,-15.3,2
1705.724475,-11.9,2
1705.736871,-7.1,2
1705.754775,-0.2,2
1705.791961,-10.8,2
1705.794716,-9.8,2
1705.803668,-6.3,2
1705.809177,-4.2,2
1706.068102,-4.2,2
1706.440651,-10.3,2
1706.586641,-3.9,2
1706.638288,-9,2
1706.896524,-9.3,2
1707.032873,-6.6,2
1707.088652,-10.1,2
1707.14512,-13.2,2
1707.156827,-8.7,2
1707.291798,-6.6,2
1707.294553,-5.5,2
1707.408865,-11.4,2
1707.41162,-10.3,2
1707.429524,-3.4,2
1707.430213,-3.2,2
1707.474974,-10.9,2
1707.723569,-14.9,2
1707.874379,-6.6,2
1707.875757,-6.1,2
1707.995578,-9.8,2
1708.041028,-17.3,2
1708.051357,-13.3,2
1708.118154,12.5,2
1708.780617,-6.6,2
1708.78406,-5.3,2
1708.841216,-8.2,2
1708.851546,-4.3,2
1709.040231,-6.4,2
1709.042985,-5.3,2
1709.095321,-10.1,2
1709.140771,-17.6,2
1709.21652,-13.3,2
1709.349426,-12,2
1709.356312,-9.3,2
1709.81976,-5.3,2
1710.011888,-6.1,2
1710.907107,-10.4,2
1714.664275,15.5,2
1714.806821,20.6,2
1714.810264,21.9,2
1714.928709,17.6,2
1715.107064,11.5,2
1715.392845,21.9,2
1715.516799,-5.2,2
1715.565003,13.4,2
1715.568446,14.7,2
1715.803958,-19.3,2
1715.813599,9.4,2
1715.816353,10.4,2
1715.818419,11.2,2
1716.067703,-17.5,2
1716.117973,1.9,2
1716.120039,2.7,2
1716.155848,16.6,2
1716.229531,20,2
1716.231597,20.8,2
1716.331449,9.4,2
1716.404443,12.6,2
1716.423036,19.7,2
1716.45127,-19.4,2
1716.463666,10.4,2
1716.51669,-19.1,2
1716.531151,11.5,2
1716.598637,12.5,2
1716.639266,3.2,2
1716.650285,7.5,2
1716.659925,11.2,2
1716.706064,-21,2
1716.712261,6.4,2
1716.740495,17.3,2
1716.787322,10.4,2
1716.80316,16.5,2
1716.902323,4.8,2
1716.902323,-20.2,2
1716.932623,-8.5,2
1716.948461,-2.4,2
1716.984959,-13.3,2
1717.111667,-14.3,2
1717.113044,11.2,2
1717.184662,13.9,2
1717.22047,-22.3,2
1717.237686,9.3,2
1717.255591,16.3,2
1717.308615,-13.3,2
1717.314124,13.9,2
1717.316879,14.9,2
1717.369215,10.1,2
1717.373346,11.7,2
1717.41191,-23.4,2
1717.445653,-10.3,2
1717.449784,16.2,2
1717.455982,-6.4,2
1717.480773,3.2,2
1717.513138,-9.3,2
1717.524156,-5,2
1717.54757,4,2
1717.553768,6.4,2
1717.615056,-19.9,2
1717.617122,-19.1,2
1717.63778,13.9,2
1717.68805,8.3,2
1717.690805,9.3,2
1717.69838,-12.7,2
1717.701823,-11.4,2
1717.750716,-17.5,2
1717.777572,-7.2,2
1717.787902,21.8,2
1717.810627,5.6,2
1717.836795,-9.3,2
1717.84919,20.5,2
1717.875358,-19.4,2
1717.882244,-16.7,2
1717.898771,-10.4,2
1717.91943,-2.4,2
1717.950419,-15.4,2
1717.955239,11.4,2
1717.982096,21.8,2
1718.028234,14.6,2
1718.044072,-4.2,2
1718.054402,-0.3,2
1718.098474,16.8,2
1718.185242,0.3,2
1718.185242,25.3,2
1718.225182,-9.3,2
1718.238266,-4.3,2
1718.276829,-14.4,2
1718.280961,-12.8,2
1718.284404,-11.4,2
1718.330543,-18.6,2
1718.333297,-17.6,2
1718.346381,-12.5,2
1718.419376,-9.3,2
1718.46276,7.4,2
1718.468269,-15.4,2
1718.774709,2.9,2
1718.792614,-15.2,2
1718.915878,7.4,2
1718.924142,-14.4,2
1718.926896,11.7,2
1719.113515,-16.2,2
1719.174803,-17.6,2
1719.229894,-21.3,2
1719.245732,-15.2,2
1719.307709,-16.2,2
