Year,G,S,Days,Something
1908.5,4.389,0.034,366,0
1909.5,3.846,0.03,365,0
1910.5,1.778,0.019,365,0
1911.5,0.703,0.012,365,0
1912.5,0.298,0.006,366,0
1913.5,0.133,0.005,365,0
1914.5,1.028,0.012,365,0
1915.5,4.183,0.031,365,0
1916.5,5.547,0.034,366,0
1917.5,9.137,0.054,365,0
1918.5,7.399,0.043,365,0
1919.5,5.925,0.034,365,0
1920.5,3.598,0.023,366,0
1921.5,2.369,0.018,365,0
1922.5,1.304,0.013,365,0
1923.5,0.568,0.008,365,0
1924.5,1.51,0.013,366,0
1925.5,4.246,0.025,365,0
1926.5,5.857,0.031,365,0
1927.5,6.396,0.031,365,0
1928.5,6.814,0.034,366,0
1929.5,6.161,0.032,365,0
1930.5,3.649,0.023,365,0
1931.5,2.138,0.016,365,0
1932.5,1.119,0.011,366,0
1933.5,0.486,0.006,365,0
1934.5,0.865,0.008,365,0
1935.5,3.556,0.021,365,0
1936.5,7.351,0.038,366,0
1937.5,9.971,0.044,365,0
1938.5,9.411,0.047,365,0
1939.5,8.052,0.033,365,0
1940.5,5.934,0.03,366,0
1941.5,4.129,0.025,365,0
1942.5,2.699,0.019,365,0
1943.5,1.281,0.012,365,0
1944.5,0.896,0.012,366,0
1945.5,3.098,0.025,365,0
1946.5,7.885,0.04,365,0
1947.5,12.005,0.055,365,0
1948.5,10.559,0.052,366,0
1949.5,10.679,0.047,365,0
1950.5,6.291,0.033,365,0
1951.5,4.823,0.03,365,0
1952.5,2.457,0.019,366,0
1953.5,1.127,0.013,365,0
1954.5,0.369,0.009,365,0
1955.5,3.157,0.021,365,0
1956.5,10.442,0.048,366,0
1957.5,13.757,0.054,365,0
1958.5,14.512,0.054,365,0
1959.5,12.387,0.053,365,0
1960.5,8.595,0.041,366,0
1961.5,4.066,0.027,365,0
1962.5,2.591,0.026,365,0
1963.5,2.023,0.022,365,0
1964.5,0.845,0.013,366,0
1965.5,1.203,0.014,365,0
1966.5,3.635,0.024,365,0
1967.5,7.934,0.049,365,0
1968.5,8.129,0.041,366,0
1969.5,7.947,0.043,365,0
1970.5,8.968,0.048,365,0
1971.5,6.081,0.033,365,0
1972.5,5.955,0.037,366,0
1973.5,3.235,0.024,365,0
1974.5,2.824,0.024,365,0
1975.5,1.252,0.016,365,0
1976.5,1.122,0.013,366,0
1977.5,2.498,0.021,365,0
1978.5,8.489,0.055,365,0
1979.5,12.9,0.061,365,0
1980.5,11.696,0.053,366,0
1981.5,11.677,0.062,365,0
1982.5,9.611,0.048,365,0
1983.5,5.94,0.04,365,0
1984.5,3.64,0.027,366,0
1985.5,1.402,0.016,365,0
1986.5,1.004,0.011,365,0
1987.5,2.295,0.02,365,0
1988.5,7.4,0.054,366,0
1989.5,12.233,0.065,365,0
1990.5,12.31,0.074,365,0
1991.5,12.085,0.058,365,0
1992.5,7.939,0.043,366,0
1993.5,4.452,0.023,365,0
1994.5,2.952,0.023,365,0
1995.5,1.566,0.01,365,0
